bank name;interest rate;repayment;apply link
Citibank Housing Loan;4.65%;RM2,578;/home-loan/citibank
Alliance Bank Home Loan;5.15%;RM2,730;/home-loan/alliance-bank
HSBC Home Loan;4.60%;RM2,563;/home-loan/hsbc
RHB Home Loan;4.70%;RM2,593;/home-loan/rhb
HSBC Amanah Home Loan;4.60%;RM2,563;/home-loan/hsbc-amanah
Alliance Islamic Bank Home Loan;5.15%;RM2,730;/home-loan/alliance-islamic-bank
Bank Rakyat Home Loan;5.55%;RM2,855;/home-loan/bank-rakyat
Bank Islam Home Loan;5.40%;RM2,808;/home-loan/bank-islam
AmBank Islamic Home Loan;4.75%;RM2,608;/home-loan/ambank-islamic
AmBank Home Loan;4.75%;RM2,608;/home-loan/ambank
AIA Home Loan;4.99%;RM2,681;/home-loan/aia
Al-Rajhi Bank Home Loan;4.70%;RM2,593;/home-loan/al-rajhi-bank
Affin Bank Home Loan;4.73%;RM2,602;/home-loan/affinbank
AFFIN ISLAMIC Home Loan;4.70%;RM2,593;/home-loan/affin-islamic
Bank of China Malaysia Home Loan;4.55%;RM2,548;/home-loan/bank-of-china
Bank Muamalat Home Loan;5.10%;RM2,715;/home-loan/bank-muamalat
UOB Home Loan;4.55%;RM2,548;/home-loan/uob
Hong Leong Home Loan;4.65%;RM2,578;/home-loan/hong-leong
RHB Islamic Home Loan;4.70%;RM2,593;/home-loan/rhb-islamic-bank
OCBC Al-Amin Home Loan;4.71%;RM2,596;/home-loan/ocbc-al-amin
OCBC Home Loan;4.71%;RM2,596;/home-loan/ocbc
CIMB Home Loan;5.15%;RM2,730;/home-loan/cimb
CIMB Islamic Home Loan;4.90%;RM2,654;/home-loan/cimb-islamic
Kuwait Finance House Home Loan;4.60%;RM2,563;/home-loan/kuwait-finance-house
Maybank Home Loan;4.55%;RM2,548;/home-loan/maybank
Maybank Islamic Home Loan;4.55%;RM2,548;/home-loan/maybank-islamic
Public Islamic Bank Home Loan;4.62%;RM2,569;/home-loan/public-islamic-bank
Public Bank Home Loan;4.62%;RM2,569;/home-loan/public-bank
Standard Chartered Home Loan;4.72%;RM2,599;/home-loan/standard-chartered
Standard Chartered Saadiq Home Loan;4.72%;RM2,599;/home-loan/standard-chartered-saadiq
MBSB Home Loan;9.20%;RM4,095;/home-loan/mbsb
